Data;Ano;Mês;Nome do Mês;Dia;Dia da Semana;Dia Útil;Semana;CW;Trimestre;Nome do Trimestre;Semestre;Nome do Semestre;Início do Mês;Mês/Ano;Mês/Ano Curto
2000-01-01;2000;1;Janeiro;1;Sábado;Final de Semana;1;01/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-02;2000;1;Janeiro;2;Domingo;Final de Semana;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-03;2000;1;Janeiro;3;Segunda-Feira;Dia Útil;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-04;2000;1;Janeiro;4;Terça-Feira;Dia Útil;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-05;2000;1;Janeiro;5;Quarta-Feira;Dia Útil;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-06;2000;1;Janeiro;6;Quinta-Feira;Dia Útil;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-07;2000;1;Janeiro;7;Sexta-Feira;Dia Útil;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-08;2000;1;Janeiro;8;Sábado;Final de Semana;2;02/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-09;2000;1;Janeiro;9;Domingo;Final de Semana;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-10;2000;1;Janeiro;10;Segunda-Feira;Dia Útil;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-11;2000;1;Janeiro;11;Terça-Feira;Dia Útil;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-12;2000;1;Janeiro;12;Quarta-Feira;Dia Útil;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-13;2000;1;Janeiro;13;Quinta-Feira;Dia Útil;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-14;2000;1;Janeiro;14;Sexta-Feira;Dia Útil;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-15;2000;1;Janeiro;15;Sábado;Final de Semana;3;03/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-16;2000;1;Janeiro;16;Domingo;Final de Semana;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-17;2000;1;Janeiro;17;Segunda-Feira;Dia Útil;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-18;2000;1;Janeiro;18;Terça-Feira;Dia Útil;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-19;2000;1;Janeiro;19;Quarta-Feira;Dia Útil;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-20;2000;1;Janeiro;20;Quinta-Feira;Dia Útil;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-21;2000;1;Janeiro;21;Sexta-Feira;Dia Útil;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-22;2000;1;Janeiro;22;Sábado;Final de Semana;4;04/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-23;2000;1;Janeiro;23;Domingo;Final de Semana;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-24;2000;1;Janeiro;24;Segunda-Feira;Dia Útil;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-25;2000;1;Janeiro;25;Terça-Feira;Dia Útil;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-26;2000;1;Janeiro;26;Quarta-Feira;Dia Útil;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-27;2000;1;Janeiro;27;Quinta-Feira;Dia Útil;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-28;2000;1;Janeiro;28;Sexta-Feira;Dia Útil;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
2000-01-29;2000;1;Janeiro;29;Sábado;Final de Semana;5;05/00;1;Trim 1;1;Semestre 1;2000-01-01;jan/00;jan/00
